Question,Answer,Response Time (s)
Which team has scored most goals from Matchday 1 to Matchday 3?,The team that has scored the most goals from Matchday 1 to Matchday 3 is FC Midtjylland with a total of 7 goals.,2.3484511375427246
Which player has had most shots from Matchday 1 to Matchday 3?,"The data provided does not include information about individual players, so it's not possible to determine which player had the most shots from Matchday 1 to Matchday 3.",2.785384178161621
Which team has most saves from Matchday 1 to Matchday 3?,The team with the most saves from Matchday 1 to Matchday 3 is Odense Boldklub with a total of 26 saves.,2.88812518119812
Which player has most interceptions from Matchday 1 to Matchday 3?,"The data provided does not include information about individual players, so it's not possible to determine which player had the most interceptions from Matchday 1 to Matchday 3.",3.4953479766845703
Which team has most corners awarded from Matchday 1 to Matchday 3?,The team with the most corners awarded from Matchday 1 to Matchday 3 is Brøndby IF with a total of 26 corners awarded.,2.3138740062713623
Which player received most cards from Matchday 1 to Matchday 3?,"The data provided does not include information about individual players, so it's not possible to determine which player received the most cards from Matchday 1 to Matchday 3.",2.6386377811431885
Which 10 players received most cards from Matchday 1 to Matchday 3?,"The data provided does not include specific player information, so it's not possible to determine which 10 players received the most cards from Matchday 1 to Matchday 3.",3.4898500442504883
Which teams played each other in Matchday 1?,"The teams that played each other in Matchday 1 are Randers FC, FC Midtjylland, Viborg FF, Aalborg BK, Silkeborg IF, Lyngby BK, AC Horsens, FC København, AGF Aarhus, Brøndby IF, FC Nordsjælland, and Odense Boldklub.",4.506233215332031
How did FC Midtjylland perform from Matchday 1 to Matchday 3?,"FC Midtjylland had a mixed performance from Matchday 1 to Matchday 3. 

On Matchday 1, they had 1 goal, 9 interceptions, 8 tackles, 14 clearances, and 10 shots saved. They also had 8 successful corners and 2 unsuccessful ones. 

On Matchday 2, their performance slightly dipped with 1 goal, 11 interceptions, 6 tackles, 4 clearances, and 2 shots saved. They had 12 successful corners and 2 unsuccessful ones. 

On Matchday 3, they improved significantly with 5 goals, 13 interceptions, 5 tackles, 9 clearances, and 2 shots saved. They had 2 successful corners. 

In terms of defensive actions, they had a total of 27 tackles, 33 interceptions, and 27 clearances across the three matchdays. 

In terms of shots, they had a total of 3 goals, 19 shots saved, and 19 shots off target across the three matchdays. 

Overall, FC Midtjylland showed improvement in their goal scoring from Matchday 1 to Matchday 3, but their defensive actions and shots varied across the matchdays.",13.688017845153809
Which team had the most offside passes from Matchday 1 to Matchday 3?,The team with the most offside passes from Matchday 1 to Matchday 3 is Brøndby IF with a total of 7 offside passes.,2.3180580139160156
Which team had the most successful passes from Matchday 1 to Matchday 3?,The data provided does not include information on successful passes for any of the teams from Matchday 1 to Matchday 3.,1.6168911457061768
How many chances did Odense Boldklub create from Matchday 1 to Matchday 3?,Odense Boldklub created 5 chances from Matchday 1 to Matchday 3.,1.4250071048736572
What was the result of Brøndby IF's matches from Matchday 1 to Matchday 3?,"- On Matchday 1, Brøndby IF scored 1 goal.
- On Matchday 2, Brøndby IF scored 1 goal.
- On Matchday 3, Brøndby IF did not score any goals.",3.622164011001587
